Time,GripperTip,Normal_A,Normal_B,Normal_C,Normal_D,Normal_E,Force_Sum
0.10022687912,37.0,20.5,41.5,21.5,4.5,0.0,125.0
0.200135946274,36.5,20.0,41.5,23.5,5.0,0.0,126.5
0.300141096115,36.0,20.5,44.0,26.0,6.0,0.0,132.5
0.400114059448,36.0,21.0,44.0,25.5,7.5,0.0,134.0
0.500127077103,37.0,20.5,43.5,24.5,6.5,0.0,132.0
0.60011100769,36.5,20.5,45.0,25.5,8.0,0.0,135.5
0.70011305809,36.5,21.5,40.0,23.5,5.5,0.0,127.0
0.800234079361,36.5,21.0,40.0,19.0,3.5,0.0,120.0
0.900202035904,36.5,21.0,39.5,19.0,4.0,0.0,120.0
1.00014996529,36.5,21.0,39.5,21.0,4.5,0.0,122.5
1.10018706322,36.5,21.5,39.5,20.0,3.5,0.0,121.0
1.20019197464,36.5,21.5,39.5,20.0,3.5,0.0,121.0
1.30018305779,36.5,21.5,40.0,20.5,5.5,0.0,124.0
1.40018796921,36.5,21.0,39.5,19.5,4.0,0.0,120.5
1.50021696091,36.0,21.0,39.5,20.5,4.0,0.0,121.0
1.6001830101,36.0,21.5,39.5,19.5,4.0,0.0,120.5
1.7001760006,35.0,21.5,39.0,19.0,4.0,0.0,118.5
1.80021190643,35.5,21.0,39.0,20.0,5.0,0.0,120.5
1.90013790131,35.5,21.0,39.0,19.5,4.0,0.0,119.0
2.00012087822,35.0,21.5,39.5,19.0,3.5,0.0,118.5
2.10011506081,37.0,21.5,39.5,19.5,3.5,0.0,121.0
2.20013189316,35.5,21.5,39.5,19.5,4.0,0.0,120.0
2.30012202263,35.5,22.0,39.5,19.0,5.0,0.0,121.0
2.40011692047,36.5,21.5,39.5,19.5,4.0,0.0,121.0
2.50011086464,36.5,22.0,39.5,18.5,4.0,0.0,120.5
2.60012292862,36.0,22.5,39.0,20.5,4.0,0.0,122.0
2.70011401176,35.0,21.5,40.0,20.0,4.0,0.0,120.5
